policy,workload,router,x,y,sent_flits,received_flits,output_stall_cycles,local_injected_flits,local_delivered_flits,sent_REQ_E,stall_REQ_E,sent_REQ_S,stall_REQ_S,sent_REQ_W,stall_REQ_W,sent_REQ_N,stall_REQ_N,sent_RSP_E,stall_RSP_E,sent_RSP_S,stall_RSP_S,sent_RSP_W,stall_RSP_W,sent_RSP_N,stall_RSP_N,sent_SNP_E,stall_SNP_E,sent_SNP_S,stall_SNP_S,sent_SNP_W,stall_SNP_W,sent_SNP_N,stall_SNP_N,sent_DAT_E,stall_DAT_E,sent_DAT_S,stall_DAT_S,sent_DAT_W,stall_DAT_W,sent_DAT_N,stall_DAT_N
lru,libquantum,0,0,0,217462.0,151780.0,0.0,226657.0,160971.0,75555.0,0.0,0.0,0.0,0.0,0.0,11113.0,0.0,42319.0,0.0,0.0,0.0,0.0,0.0,6510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59759.0,0.0,0.0,0.0,0.0,0.0,22206.0,0.0
lru,libquantum,1,1,0,241798.0,249650.0,0.0,12068.0,19919.0,56560.0,0.0,0.0,0.0,0.0,0.0,16690.0,0.0,29298.0,0.0,0.0,0.0,9215.0,0.0,9766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41373.0,0.0,0.0,0.0,45572.0,0.0,33324.0,0.0
lru,libquantum,2,2,0,202116.0,209963.0,0.0,12067.0,19916.0,43128.0,0.0,0.0,0.0,0.0,0.0,11129.0,0.0,19532.0,0.0,0.0,0.0,6911.0,0.0,6511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27575.0,0.0,0.0,0.0,65106.0,0.0,22224.0,0.0
lru,libquantum,3,3,0,175833.0,183686.0,0.0,12069.0,19921.0,29697.0,0.0,0.0,0.0,0.0,0.0,11126.0,0.0,9766.0,0.0,0.0,0.0,4608.0,0.0,6510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13778.0,0.0,0.0,0.0,78124.0,0.0,22224.0,0.0
lru,libquantum,4,4,0,149568.0,157413.0,0.0,12068.0,19911.0,16272.0,0.0,0.0,0.0,0.0,0.0,11122.0,0.0,0.0,0.0,0.0,0.0,2303.0,0.0,6511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91148.0,0.0,22212.0,0.0
lru,libquantum,5,5,0,104172.0,52084.0,0.0,104172.0,52084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104172.0,0.0,0.0,0.0
lru,libquantum,6,0,1,120170.0,128015.0,0.0,12063.0,19906.0,3254.0,0.0,0.0,0.0,0.0,0.0,5560.0,0.0,0.0,0.0,25369.0,0.0,0.0,0.0,3255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71624.0,0.0,0.0,0.0,11108.0,0.0
lru,libquantum,7,1,1,81632.0,89481.0,0.0,12070.0,19919.0,6509.0,0.0,0.0,0.0,0.0,0.0,11130.0,0.0,0.0,0.0,0.0,0.0,9218.0,0.0,6511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26044.0,0.0,22220.0,0.0
lru,libquantum,8,2,1,56159.0,64004.0,0.0,12071.0,19916.0,9764.0,0.0,0.0,0.0,0.0,0.0,5568.0,0.0,0.0,0.0,0.0,0.0,6913.0,0.0,3256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19534.0,0.0,11124.0,0.0
lru,libquantum,9,3,1,50587.0,58438.0,0.0,12073.0,19924.0,13020.0,0.0,0.0,0.0,0.0,0.0,5565.0,0.0,0.0,0.0,0.0,0.0,4607.0,0.0,3255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13024.0,0.0,11116.0,0.0
